,SrNo,Nature of Accident,Classification of Accident,Causes,Road Feature,Road Condition,Intersection Type and Control,Weather Condition,VehicleResponsible,Fatal,Grevious,Minor,Injured,Help Provided by Ambulance/Patrol,Remarks,Encoded_VehicleResponsible,Hospital,AccYear,AccMonth,AccDay,HourOfAccident,TimeOfAccAMPM_AM,TimeOfAccAMPM_PM
118,119.0,skidding,3,1,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,5.0,9.0,8,0,1
119,120.0,skidding,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,0,1,0,Ambulance,The injured person shifted to Srinivas Hospital,car,,2016.0,5.0,9.0,3,0,1
120,121.0,overspeed,2,2 & 5,fourlane,straight,junction,fine,Fault of road crossing pedestrian,0,1,0,0,Ambulance,The injured person shifted to KR Puram Govt. Hospital,,kr puramH,2015.0,5.0,9.0,10,1,0
121,122.0,overspeed,1,1,fourlane,straight,junction,fine,Drunk & Drive,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital,,MVJH,2015.0,5.0,9.0,7,0,1
122,123.0,headoncollision,1 & 2,2,fourlane,sharpcurve,tjunction,fine,TATA Ace Hit to Car over speeding,2,1,0,0,Ambulance/Petrol Vehicle,The Fatal person and Injured person shifted to Govt Hospital Kolar,car,,2014.0,5.0,9.0,11,0,1
123,124.0,overspeed,2,2,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2015.0,5.0,8.0,2,0,1
124,125.0,skidding,4,2 & 4,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,0,0,0,1,Petrol Vehicle,The injured person Shifted to Narsapur Govt Hsptl,twowheeler,,2015.0,5.0,7.0,4,0,1
125,126.0,overspeed,1,2 & 7,fourlane,slightcurve,junction,fine,Car over speed and hit to run the Pedestrian,1,0,0,0,Petrol Vehicle,The fatal body shifted to SNR Mortury,car,snrH,2015.0,5.0,7.0,7,0,1
126,127.0,overspeed,2,2 & 4,fourlane,straight,junction,fine,Fault of driver of Motor vehicle,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,,MVJH,2015.0,5.0,7.0,10,0,1
127,128.0,overspeed,2,1 & 2,fourlane,straight,junction,fine,Bike Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,Shifted to RL Jalappa Hospital Kolar,twowheeler,JalappaH,2014.0,5.0,7.0,10,0,1
128,129.0,overspeed,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,5.0,6.0,8,0,1
129,130.0,skidding,2,2,fourlane,straight,junction,fine,Car over speed vehicle out of control skidding,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital,car,,2016.0,5.0,5.0,10,0,1
130,131.0,skidding,2,2 & 3,fourlane,straight,junction,fine,Car over speed vehicle out of control Self accident,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,5.0,5.0,12,1,0
131,132.0,headoncollision,2,1 & 2,fourlane,straight,junction,fine,LCV over speed and hit to Truck. Driver sleep and Drink & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,car,hoskoteH,2018.0,5.0,4.0,1,1,0
132,133.0,others,2,2,fourlane,straight,junction,fine,Bike,0,1,1,0,Ambulance/Petrol Vehicle,Due over speed of bike rider,twowheeler,,2014.0,5.0,4.0,11,1,0
133,134.0,headoncollision,1,2 & 5,fourlane,straight,tjunction,fine,car over speed and hit to two wheeler,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,twowheeler,JalappaH,2017.0,5.0,3.0,2,0,1
134,135.0,overspeed,2 & 3 & 4,2 & 3 & 5,fourlane,straight,junction,fine,Total 3nos of vehicle accident in the spot,0,1,1,3,Ambulance,The injured person shifted to Jalappa Hospital,,JalappaH,2015.0,5.0,3.0,8,0,1
135,136.0,overspeed,2 & 3 & 4,2 & 3 & 5,fourlane,straight,junction,fine,Total 3nos of vehicle accident in the spot,0,1,1,3,Ambulance,The injured person shifted to Jalappa Hospital,,JalappaH,2015.0,5.0,3.0,8,0,1
136,137.0,others,1 & 2,2 & 3,fourlane,slightcurve,tjunction,fine,Self accident vehicle over speed,1,3,0,0,Ambulance/Petrol Vehicle,The fatal body & injured person shifted to MVJ Hospital,,MVJH,2015.0,5.0,3.0,4,0,1
137,138.0,others,2,1 & 2,fourlane,slightcurve,tjunction,fine,Self Accident Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,,MVJH,2015.0,5.0,3.0,5,0,1
138,139.0,headoncollision,1,2 & 5,fourlane,straight,junction,fine,Mini truck crushed with Truck. Negligent driving of Mini truck driver,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hospital,truck,,2016.0,5.0,2.0,1,1,0
139,140.0,overspeed,2,2 & 3,fourlane,straight,junction,fine,Two wheeler overspeed and vehicle out of control skidding,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2015.0,5.0,12.0,9,0,1
140,141.0,overspeed,3,2,fourlane,straight,junction,fine,Car over speed and hit to Car,0,0,1,0,Ambulance,The injured person shifted to KR Puram Private Hospital,car,kr puramH,2016.0,5.0,10.0,11,0,1
141,142.0,others,1 & 2 & 3,7,fourlane,slightcurve,junction,fine,Fault of Pedestrian,1,1,1,0,Ambulance/Petrol Vehicle,The Fatal person and Injured person shifted to Jalappa Hospital Kolar,,JalappaH,2014.0,5.0,10.0,7,0,1
142,143.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Negligent driving of the Auto driver,0,1,0,0,Ambulance,The injure person shifted to MVJ Hospital,,MVJH,2016.0,5.0,1.0,11,1,0
143,144.0,headoncollision,1 & 3,2 & 3 & 5,fourlane,straight,junction,fine,Bus over speed and hit to Car & LCV,3,0,1,0,Ambulance/Petrol Vehicle,The fatal & Injured person shifted to Jalappa Hospital Koalr,car,JalappaH,2017.0,4.0,8.0,1,1,0
144,145.0,headoncollision,3,2 & 3,fourlane,straight,junction,fine,Car over speed and hit to car,0,0,1,0,Ambulance/Petrol Vehicle,-,car,,2016.0,4.0,8.0,2,0,1
145,146.0,overspeed,1,2 & 7,fourlane,straight,junction,fine,Car hit to road crossing pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital,car,MVJH,2015.0,4.0,8.0,5,1,0
146,147.0,headoncollision,2,1,fourlane,straight,junction,fine,Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,,MVJH,2015.0,4.0,8.0,1,0,1
147,148.0,overspeed,2,2 & 3,fourlane,sharpcurve,junction,fine,Car over speed and hit to Auto vehicle out of control,0,1,0,0,Ambulance,The injured person shifted to MVJ Hospital,car,MVJH,2016.0,4.0,7.0,5,1,0
148,149.0,headoncollision,1 & 3,2 & 3 & 5,fourlane,straight,junction,fine,Truck over speed and hit to car,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to MVJ Hospital,car,MVJH,2016.0,4.0,7.0,3,1,0
149,150.0,others,1,1 & 3,fourlane,straight,junction,fine,Over Speed Vehicle out of Control,2,0,0,0,Ambulance/Petrol Vehicle,shifted to Hospital MVJ Hoskote,,hoskoteH,2014.0,4.0,7.0,3,1,0
150,151.0,headoncollision,2,2 & 9,fourlane,slightcurve,junction,fine,car over speed and hit to two wheeler,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,twowheeler,hoskoteH,2017.0,4.0,6.0,11,1,0
151,152.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2016.0,4.0,6.0,5,1,0
152,153.0,overspeed,2,2 & 5,fourlane,straight,tjunction,fine,LCV over speed and hit to Truck,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital KR Puram,car,kr puramH,2016.0,4.0,6.0,5,1,0
153,154.0,headoncollision,2,2 & 9,fourlane,straight,junction,lightrain,Truck over speed and hit to Car,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,car,hoskoteH,2018.0,4.0,5.0,3,1,0
154,155.0,skidding,1,2 & 5,fourlane,straight,junction,fine,Unknown vehicle over speed and hit to two wheeler,1,0,2,0,Ambulance/Petrol Vehicle,The fatal body & injured person shifted to Jalappa Hospital,unknown,JalappaH,2018.0,4.0,5.0,2,1,0
155,156.0,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,4.0,5.0,11,0,1
156,157.0,others,2,2,fourlane,straight,junction,fine,Over Speed of Car,0,1,0,0,Ambulance/Petrol Vehicle,Serious Injures to Car Driver,car,,2014.0,4.0,5.0,2,1,0
157,158.0,others,2,2,fourlane,straight,junction,fine,Car,0,1,0,0,Ambulance/Petrol Vehicle,Due over speed of car collided with truck,car,,2014.0,4.0,5.0,2,1,0
158,159.0,overspeed,2,2,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler. Negligence Driving of Two wheeler.,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote,twowheeler,hoskoteH,2018.0,4.0,4.0,7,1,0
159,160.0,headoncollision,2 & 3,2 & 5,fourlane,straight,junction,fine,Bus over speed hit to LCV,0,1,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2016.0,4.0,4.0,6,0,1
160,161.0,overspeed,3,2,fourlane,straight,junction,fine,Car over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli,car,,2017.0,4.0,3.0,10,0,1
161,162.0,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Tractor,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,4.0,3.0,7,0,1
162,163.0,skidding,2,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,4,0,0,Petrol Vehicle,The injured person shifted to Govt Hospital Hoskote,twowheeler,hoskoteH,2018.0,4.0,2.0,11,1,0
163,164.0,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Two wheeler over speed and hit to LCV,3,0,1,0,Ambulance,The fatal body and injured person shifted to Jalappa Hospital,car,JalappaH,2016.0,4.0,2.0,9,0,1
164,165.0,others,1,2 & 3,fourlane,straight,junction,fine,Self Accident Drunk & Drive,1,0,0,0,Petrol Vehicle,The fatal body shifted to SNR Hospital,,snrH,2015.0,4.0,2.0,11,0,1
165,166.0,headoncollision,3,2 & 5,fourlane,straight,junction,fine,LCV over speed and hit to LCV,0,0,2,0,Petrol Vehicle,Minor injured Vehicle shifted to Kolar Traffic police station,car,,2017.0,4.0,12.0,9,1,0
166,167.0,skidding,2,2 & 3,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2014.0,4.0,12.0,1,0,1
167,168.0,headoncollision,3,2,fourlane,straight,junction,fine,Bus over speed and hit to Agricultural vehicle.,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,bus,JalappaH,2016.0,4.0,11.0,7,0,1
168,169.0,headoncollision,2,2 & 3,fourlane,straight,junction,fine,LCV over speed self accident,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote,car,hoskoteH,2017.0,4.0,10.0,11,0,1
169,170.0,rightturncollision,3,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,car,JalappaH,2016.0,4.0,10.0,3,1,0
170,171.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Lorry over speed and Hit to Two wheeler,0,1,1,0,Ambulance/Petrol Vehicle,The injure person shifted to Hoskote Govt Hospital,twowheeler,hoskoteH,2015.0,4.0,10.0,11,0,1
171,172.0,overspeed,3,2,fourlane,straight,tjunction,fine,Car over speed,0,0,3,0,Petrol Vehicle,Traffic clear,car,,2014.0,4.0,10.0,10,0,1
172,173.0,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed hit to Bus,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,twowheeler,JalappaH,2018.0,4.0,1.0,11,1,0
173,174.0,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,twowheeler,hoskoteH,2017.0,4.0,1.0,9,1,0
174,175.0,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Bus over speed and hit to two wheeler,1,1,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hoskote & Injured person shifted to MVJ Hospital,twowheeler,hoskoteH,2017.0,4.0,1.0,2,0,1
175,176.0,skidding,2 & 3,2 & 3 & 4,fourlane,straight,junction,fine,Self accident over speed,0,4,5,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,,JalappaH,2016.0,4.0,1.0,6,0,1
176,177.0,headoncollision,2 & 3 & 4,2 & 5,fourlane,straight,junction,fine,Truck ramped to car,0,1,1,2,Ambulance,The injured person shifted to SNR Hospital,car,snrH,2015.0,4.0,1.0,1,1,0
177,178.0,others,3,2,fourlane,straight,junction,fine,Maurthi van hit to Milk van over speed,0,1,1,0,Ambulance/Petrol Vehicle,The injured persons shifted to MVJ Hospital,,MVJH,2014.0,8.0,31.0,4,0,1
178,179.0,overspeed,1,2 & 5,fourlane,straight,tjunction,fine,Two wheeler over speed and hit to Road crossing pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital,twowheeler,MVJH,2015.0,7.0,31.0,8,0,1
179,180.0,headoncollision,1,1,fourlane,slightcurve,junction,fine,Bike over speed and hit to Tractor,0,0,1,0,Petrol Vehicle,The minor injured person shifted to Hospital,twowheeler,,2015.0,7.0,31.0,1,0,1
180,181.0,others,3,2,fourlane,straight,junction,fine,Car,0,0,1,0,Petrol Vehicle,Car hits truck by over speeding,car,,2015.0,5.0,31.0,9,1,0
181,182.0,overspeed,1 & 4,2 & 9,fourlane,slightcurve,junction,fine,Bus over speed. Defects in mechanical condition,1,0,0,8,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,bus,JalappaH,2017.0,3.0,31.0,9,0,1
182,183.0,overspeed,1,1 & 2,fourlane,straight,junction,fine,Drunk & Drive of car driver,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,car,JalappaH,2016.0,3.0,31.0,12,0,1
183,184.0,others,3,3,fourlane,slightcurve,tjunction,fine,"Truck over speed, vehicle out of control and vehicle skidding the shoulder side",0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,truck,MVJH,2014.0,3.0,31.0,3,0,1
184,185.0,overspeed,2 & 3 & 4,2 & 5,fourlane,slightcurve,junction,fine,Car hit to the other car because of over speed on the carriageway and vehicle out of control,0,1,2,3,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2014.0,3.0,31.0,4,1,0
185,186.0,skidding,4,2,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,0,0,1,Petrol Vehicle,"There is no injured, traffic cleared immediately.",twowheeler,,2017.0,12.0,31.0,8,1,0
186,187.0,skidding,4,2,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,0,0,1,Petrol Vehicle,"There is no injured, traffic cleared immediately.",twowheeler,,2017.0,12.0,31.0,8,1,0
187,188.0,overspeed,3,2,fourlane,straight,junction,fine,Truck over speed and hit to Truck,0,0,1,0,Ambulance,The injured person shifted to Private Hospital Hoskote,truck,hoskoteH,2017.0,10.0,31.0,10,1,0
188,189.0,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler,1,1,0,0,Ambulance/Petrol Vehicle,The fatal & Injured person shifted to Govt. Hospital Hoskote,twowheeler,hoskoteH,2016.0,10.0,31.0,11,1,0
189,190.0,skidding,2,3 & 4,fourlane,straight,junction,fine,Two wheeler over speed in the carriageway in front of vehicle suddenly overtaking the two wheeler out of control and skidding on the carriageway,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2014.0,10.0,31.0,10,1,0
190,191.0,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,0,0,2,0,Ambulance,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,1.0,31.0,10,1,0
191,192.0,skidding,2,1,fourlane,straight,junction,fine,Self accident Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to KR Puram Govt Hospital,,kr puramH,2015.0,9.0,30.0,2,0,1
192,193.0,overspeed,2,2,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital,car,MVJH,2015.0,8.0,30.0,11,1,0
193,194.0,skidding,1,2,fourlane,straight,junction,fine,Unknown vehicle hit and run while road crossing,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,unknown,JalappaH,2017.0,7.0,30.0,7,0,1
194,195.0,overspeed,3,2 & 3 & 9,fourlane,straight,junction,fine,0,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,,JalappaH,2016.0,7.0,30.0,3,0,1
195,196.0,headoncollision,1,2 & 5,fourlane,slightcurve,tjunction,fine,Car Hit to the Multi axle,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,car,JalappaH,2015.0,7.0,30.0,5,1,0
196,197.0,others,2 & 3,2,fourlane,straight,junction,fine,Car over speed,0,4,1,0,Petrol Vehicle,Helping Patrolling & 108 Shifted to Jalapa hospital,car,,2014.0,6.0,30.0,11,1,0
197,198.0,others,2 & 3,2,fourlane,straight,junction,fine,Car over speed,0,4,1,0,Petrol Vehicle,Helping Patrolling & 108 Shifted to Jalapa hospital,car,,2014.0,6.0,30.0,11,1,0
198,199.0,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Multi axle over speed and hit to Multi axle,1,1,0,0,Ambulance/Petrol Vehicle,The Fatal & Injured person shifted to Jalappa Hospital,,JalappaH,2016.0,5.0,30.0,5,1,0
199,200.0,others,3,2,fourlane,straight,junction,fine,Bike,0,2,1,2,Ambulance,Bike rider hits car with over speed,twowheeler,,2015.0,5.0,30.0,9,0,1
200,201.0,headoncollision,1,9,fourlane,straight,junction,fine,car over speed and hit to two wheeler,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital,twowheeler,MVJH,2017.0,4.0,30.0,10,0,1
201,202.0,skidding,1,7,fourlane,slightcurve,junction,fine,Unknown vehicle hit and run while road crossing,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital,unknown,JalappaH,2017.0,4.0,30.0,4,0,1
202,203.0,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Bus,0,22,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,bus,hoskoteH,2018.0,3.0,30.0,11,1,0
203,204.0,overspeed,3,2,fourlane,straight,junction,fine,car over speed and hit to Bus,0,0,3,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,bus,JalappaH,2018.0,3.0,30.0,9,0,1
204,205.0,skidding,1,7,fourlane,straight,junction,fine,car over speed hit to road crossing Pedestrian,1,0,0,0,Ambulance,The fatal body shifted to Jalappa Hospital,car,JalappaH,2016.0,3.0,30.0,7,1,0
205,206.0,skidding,3,2 & 4,fourlane,slightcurve,junction,fine,Two wheeler over speed Self accident,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,twowheeler,JalappaH,2018.0,1.0,30.0,9,0,1
206,207.0,headoncollision,2,2 & 4,fourlane,straight,junction,fine,Two wheeler riding and over speed hit to Truck,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Silicon city Hospital,twowheeler,siliconcityH,2017.0,3.0,9.0,2,0,1
207,208.0,skidding,3,9,fourlane,straight,junction,fine,LCV over speed self accident due to defect in mechanical condition,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,car,JalappaH,2017.0,3.0,9.0,5,0,1
208,209.0,skidding,3,1 & 3,fourlane,straight,junction,fine,Two wheeler over speed Drunk & Drive,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,3.0,9.0,8,0,1
209,210.0,rightturncollision,3,2 & 3,fourlane,slightcurve,junction,fine,Car over speed vehicle out of control,0,0,3,0,Ambulance,The injured person shifted to SNR Hospital,car,snrH,2015.0,3.0,9.0,1,0,1
210,211.0,skidding,1,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,twowheeler,MVJH,2017.0,3.0,8.0,9,1,0
211,212.0,overspeed,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian,1,0,0,0,Ambulance,The fatal body shifted to Jalappa Hospital,car,JalappaH,2016.0,3.0,8.0,6,1,0
212,213.0,headoncollision,2,2 & 5,fourlane,slightcurve,junction,fine,Truck hit to Car,0,1,2,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,car,MVJH,2015.0,3.0,8.0,7,1,0
213,214.0,headoncollision,2,2 & 5,fourlane,slightcurve,junction,fine,Truck over speed and hit to Auto,0,4,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,truck,MVJH,2016.0,3.0,7.0,2,1,0
214,215.0,headoncollision,3,2 & 3 & 4,fourlane,straight,junction,fine,Multi axle over speed and hit to Two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,3.0,6.0,5,1,0
215,216.0,skidding,3,2 & 4,fourlane,straight,junction,fine,Self accident Two wheeler over speed,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,twowheeler,hoskoteH,2018.0,3.0,5.0,6,1,0
216,217.0,others,3 & 4,2 & 3,fourlane,straight,junction,fine,Car over speed and vehicle out of control,0,0,1,2,Ambulance,The injured person shifted to Jalappa Hospital,car,JalappaH,2015.0,3.0,4.0,10,1,0
217,218.0,headoncollision,4,2 & 5,fourlane,straight,junction,fine,Truck overtaking and Hit to the KSRTC Bus,0,0,0,20,Petrol Vehicle,The travel passenger all safe non-injured,bus,,2015.0,3.0,4.0,4,1,0
218,219.0,headoncollision,2,5,fourlane,straight,junction,fine,Mini Truck,0,2,7,0,Ambulance/Petrol Vehicle,Mini Truck moving in wrong direction,truck,,2014.0,3.0,4.0,4,0,1
219,220.0,headoncollision,3,2 & 5,fourlane,straight,yjunction,fine,Car over speed and hit to Two wheeler,0,0,2,0,Ambulance,The injured person shifted to Mulbagal Govt Hospital,twowheeler,mulbagalH,2016.0,3.0,2.0,7,0,1
220,221.0,skidding,2,2 & 4,fourlane,straight,junction,fine,Over speed of Motor Vehicle,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,,MVJH,2015.0,3.0,2.0,1,0,1
221,222.0,skidding,3,2,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli,twowheeler,,2017.0,3.0,12.0,6,0,1
222,223.0,overspeed,3,7,fourlane,straight,tjunction,fine,Car over speed and hit to road crossing pedestrian. Fault of Pedestrian.,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar,car,JalappaH,2016.0,3.0,12.0,7,0,1
223,224.0,skidding,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Hit to LCV and skidding,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shited to Govt Hospital,car,,2015.0,3.0,12.0,9,1,0
224,225.0,headoncollision,2,2 & 3,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,car,hoskoteH,2017.0,3.0,11.0,5,0,1
225,226.0,collisionbrush,3,4,fourlane,straight,junction,fine,Two wheeler over speed and hit to two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to SNR Hospital Koalr,twowheeler,snrH,2016.0,3.0,10.0,10,1,0
226,227.0,overspeed,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Hoskote,car,hoskoteH,2018.0,3.0,1.0,9,0,1
227,228.0,skidding,2,2,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital Avalahalli,twowheeler,avalahalliH,2017.0,3.0,1.0,10,1,0
228,229.0,skidding,3,4,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2015.0,8.0,29.0,2,0,1
229,230.0,others,3,2 & 5,fourlane,straight,tjunction,fine,Vehicle parking in shoulder portion back side the two wheeler over speed come and Hit to the Loory,0,0,2,0,Ambulance/Petrol Vehicle,The injured persons shifted to KR Puram Govt Hospital,twowheeler,kr puramH,2014.0,8.0,29.0,11,1,0
230,231.0,headoncollision,1,2,fourlane,straight,junction,fine,Car over speed and hit to car,1,0,0,0,Ambulance,The fatal body shifted to Govt. Hospital Hoskote,car,hoskoteH,2017.0,7.0,29.0,12,1,0
231,232.0,rightturncollision,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital,car,MVJH,2017.0,7.0,29.0,2,1,0
232,233.0,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Auto,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,car,JalappaH,2016.0,7.0,29.0,5,0,1
233,234.0,skidding,3,1,fourlane,straight,junction,fine,Drunk & Drive,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital,,MVJH,2015.0,7.0,29.0,4,0,1
234,235.0,headoncollision,1,2 & 9,fourlane,straight,junction,fine,car over speed and hit to two wheeler. Defects in mechanical condition,3,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital,twowheeler,JalappaH,2017.0,6.0,29.0,6,1,0
235,236.0,headoncollision,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,1,0,0,0,Ambulance,The fatal body shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,6.0,29.0,11,0,1
236,237.0,skidding,1 & 2,2 & 4,fourlane,slightcurve,junction,fine,Fault of driver of Motor vehicle,1,2,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital,,MVJH,2015.0,6.0,29.0,8,1,0
237,238.0,headoncollision,3,1 & 2,fourlane,slightcurve,junction,fine,Bike over speed hit to car,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital,twowheeler,JalappaH,2016.0,5.0,29.0,7,1,0
