SrNo,Date,a,Nature of Accident,Classification of Accident,Causes,Road Feature,Road Condition,Intersection Type and Control,Weather Condition,Vehicle Responsible,Fatal,Grevious,Minor,Injured,Help Provided by Ambulance/Patrol,Remarks
147,04-08-15,13:30,headoncollision,2,1,fourlane,straight,junction,fine,Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
148,04-07-16,5:30,overspeed,2,2 & 3,fourlane,sharpcurve,junction,fine,Car over speed and hit to Auto vehicle out of control,0,1,0,0,Ambulance,The injured person shifted to MVJ Hospital
149,04-07-16,3:00,headoncollision,1 & 3,2 & 3 & 5,fourlane,straight,junction,fine,Truck over speed and hit to car,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to MVJ Hospital
150,04-07-14,3:00,others,1,1 & 3,fourlane,straight,junction,fine,Over Speed Vehicle out of Control,2,0,0,0,Ambulance/Petrol Vehicle,shifted to Hospital MVJ Hoskote
151,04-06-17,11:30,headoncollision,2,2 & 9,fourlane,slightcurve,junction,fine,car over speed and hit to two wheeler,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
152,04-06-16,5:15,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
153,04-06-16,5:45,overspeed,2,2 & 5,fourlane,straight,tjunction,fine,LCV over speed and hit to Truck,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital KR Puram
154,04-05-18,3:00,headoncollision,2,2 & 9,fourlane,straight,junction,lightrain,Truck over speed and hit to Car,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
155,04-05-18,2:15,skidding,1,2 & 5,fourlane,straight,junction,fine,Unknown vehicle over speed and hit to two wheeler,1,0,2,0,Ambulance/Petrol Vehicle,The fatal body & injured person shifted to Jalappa Hospital
156,04-05-16,23:35,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
157,04-05-14,2:00,others,2,2,fourlane,straight,junction,fine,Over Speed of Car,0,1,0,0,Ambulance/Petrol Vehicle,Serious Injures to Car Driver
158,04-05-14,2:00,others,2,2,fourlane,straight,junction,fine,Car,0,1,0,0,Ambulance/Petrol Vehicle,Due over speed of car collided with truck
159,04-04-18,7:00,overspeed,2,2,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler. Negligence Driving of Two wheeler.,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote
160,04-04-16,18:30,headoncollision,2 & 3,2 & 5,fourlane,straight,junction,fine,Bus over speed hit to LCV,0,1,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
161,04-03-17,22:00,overspeed,3,2,fourlane,straight,junction,fine,Car over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli
162,04-03-16,19:45,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Tractor,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
163,04-02-18,11:30,skidding,2,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,4,0,0,Petrol Vehicle,The injured person shifted to Govt Hospital Hoskote
164,04-02-16,21:35,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Two wheeler over speed and hit to LCV,3,0,1,0,Ambulance,The fatal body and injured person shifted to Jalappa Hospital
165,04-02-15,23:20,others,1,2 & 3,fourlane,straight,junction,fine,Self Accident Drunk & Drive,1,0,0,0,Petrol Vehicle,The fatal body shifted to SNR Hospital
166,04-12-17,9:35,headoncollision,3,2 & 5,fourlane,straight,junction,fine,LCV over speed and hit to LCV,0,0,2,0,Petrol Vehicle,Minor injured Vehicle shifted to Kolar Traffic police station
167,04-12-14,13:25,skidding,2,2 & 3,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
168,04-11-16,19:45,headoncollision,3,2,fourlane,straight,junction,fine,Bus over speed and hit to Agricultural vehicle.,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
169,04-10-17,23:30,headoncollision,2,2 & 3,fourlane,straight,junction,fine,LCV over speed self accident,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote
170,04-10-16,3:15,rightturncollision,3,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
171,04-10-15,23:30,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Lorry over speed and Hit to Two wheeler,0,1,1,0,Ambulance/Petrol Vehicle,The injure person shifted to Hoskote Govt Hospital
172,04-10-14,22:36,overspeed,3,2,fourlane,straight,tjunction,fine,Car over speed,0,0,3,0,Petrol Vehicle,Traffic clear
173,04-01-18,11:00,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed hit to Bus,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
174,04-01-17,9:20,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
175,04-01-17,14:55,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Bus over speed and hit to two wheeler,1,1,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hoskote & Injured person shifted to MVJ Hospital
176,04-01-16,18:15,skidding,2 & 3,2 & 3 & 4,fourlane,straight,junction,fine,Self accident over speed,0,4,5,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
177,04-01-15,1:00,headoncollision,2 & 3 & 4,2 & 5,fourlane,straight,junction,fine,Truck ramped to car,0,1,1,2,Ambulance,The injured person shifted to SNR Hospital
178,31-08-14,16:32,others,3,2,fourlane,straight,junction,fine,Maurthi van hit to Milk van over speed,0,1,1,0,Ambulance/Petrol Vehicle,The injured persons shifted to MVJ Hospital
179,31-07-15,20:00,overspeed,1,2 & 5,fourlane,straight,tjunction,fine,Two wheeler over speed and hit to Road crossing pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
180,31-07-15,13:05,headoncollision,1,1,fourlane,slightcurve,junction,fine,Bike over speed and hit to Tractor,0,0,1,0,Petrol Vehicle,The minor injured person shifted to Hospital
181,31-05-15,9:35,others,3,2,fourlane,straight,junction,fine,Car,0,0,1,0,Petrol Vehicle,Car hits truck by over speeding
182,31-03-17,21:35,overspeed,1 & 4,2 & 9,fourlane,slightcurve,junction,fine,Bus over speed. Defects in mechanical condition,1,0,0,8,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
183,31-03-16,12:20,overspeed,1,1 & 2,fourlane,straight,junction,fine,Drunk & Drive of car driver,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
184,31-03-14,15:00,others,3,3,fourlane,slightcurve,tjunction,fine,"Truck over speed, vehicle out of control and vehicle skidding the shoulder side",0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
185,31-03-14,4:30,overspeed,2 & 3 & 4,2 & 5,fourlane,slightcurve,junction,fine,Car hit to the other car because of over speed on the carriageway and vehicle out of control,0,1,2,3,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
186,31-12-17,8:50,skidding,4,2,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,0,0,1,Petrol Vehicle,"There is no injured, traffic cleared immediately."
187,31-12-17,8:50,skidding,4,2,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,0,0,1,Petrol Vehicle,"There is no injured, traffic cleared immediately."
188,31-10-17,10:00,overspeed,3,2,fourlane,straight,junction,fine,Truck over speed and hit to Truck,0,0,1,0,Ambulance,The injured person shifted to Private Hospital Hoskote
189,31-10-16,11:30,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler,1,1,0,0,Ambulance/Petrol Vehicle,The fatal & Injured person shifted to Govt. Hospital Hoskote
190,31-10-14,10:30,skidding,2,3 & 4,fourlane,straight,junction,fine,Two wheeler over speed in the carriageway in front of vehicle suddenly overtaking the two wheeler out of control and skidding on the carriageway,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
191,31-01-16,10:45,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,0,0,2,0,Ambulance,The injured person shifted to Jalappa Hospital
192,30-09-15,14:10,skidding,2,1,fourlane,straight,junction,fine,Self accident Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to KR Puram Govt Hospital
193,30-08-15,11:30,overspeed,2,2,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
194,30-07-17,19:15,skidding,1,2,fourlane,straight,junction,fine,Unknown vehicle hit and run while road crossing,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
195,30-07-16,15:00,overspeed,3,2 & 3 & 9,fourlane,straight,junction,fine,0,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
196,30-07-15,5:00,headoncollision,1,2 & 5,fourlane,slightcurve,tjunction,fine,Car Hit to the Multi axle,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
197,30-06-14,11:30,others,2 & 3,2,fourlane,straight,junction,fine,Car over speed,0,4,1,0,Petrol Vehicle,Helping Patrolling & 108 Shifted to Jalapa hospital
198,30-06-14,11:30,others,2 & 3,2,fourlane,straight,junction,fine,Car over speed,0,4,1,0,Petrol Vehicle,Helping Patrolling & 108 Shifted to Jalapa hospital
199,30-05-16,5:00,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Multi axle over speed and hit to Multi axle,1,1,0,0,Ambulance/Petrol Vehicle,The Fatal & Injured person shifted to Jalappa Hospital
200,30-05-15,21:30,others,3,2,fourlane,straight,junction,fine,Bike,0,2,1,2,Ambulance,Bike rider hits car with over speed
201,30-04-17,22:30,headoncollision,1,9,fourlane,straight,junction,fine,car over speed and hit to two wheeler,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
202,30-04-17,16:50,skidding,1,7,fourlane,slightcurve,junction,fine,Unknown vehicle hit and run while road crossing,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital
203,30-03-18,11:10,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Bus,0,22,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
204,30-03-18,21:00,overspeed,3,2,fourlane,straight,junction,fine,car over speed and hit to Bus,0,0,3,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
205,30-03-16,7:40,skidding,1,7,fourlane,straight,junction,fine,car over speed hit to road crossing Pedestrian,1,0,0,0,Ambulance,The fatal body shifted to Jalappa Hospital
206,30-01-18,21:30,skidding,3,2 & 4,fourlane,slightcurve,junction,fine,Two wheeler over speed Self accident,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
207,03-09-17,14:25,headoncollision,2,2 & 4,fourlane,straight,junction,fine,Two wheeler riding and over speed hit to Truck,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Silicon city Hospital
208,03-09-17,17:30,skidding,3,9,fourlane,straight,junction,fine,LCV over speed self accident due to defect in mechanical condition,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
209,03-09-16,20:15,skidding,3,1 & 3,fourlane,straight,junction,fine,Two wheeler over speed Drunk & Drive,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
210,03-09-15,13:45,rightturncollision,3,2 & 3,fourlane,slightcurve,junction,fine,Car over speed vehicle out of control,0,0,3,0,Ambulance,The injured person shifted to SNR Hospital
211,03-08-17,9:00,skidding,1,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
212,03-08-16,6:00,overspeed,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian,1,0,0,0,Ambulance,The fatal body shifted to Jalappa Hospital
213,03-08-15,7:15,headoncollision,2,2 & 5,fourlane,slightcurve,junction,fine,Truck hit to Car,0,1,2,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
214,03-07-16,2:25,headoncollision,2,2 & 5,fourlane,slightcurve,junction,fine,Truck over speed and hit to Auto,0,4,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
215,03-06-16,5:30,headoncollision,3,2 & 3 & 4,fourlane,straight,junction,fine,Multi axle over speed and hit to Two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
216,03-05-18,6:00,skidding,3,2 & 4,fourlane,straight,junction,fine,Self accident Two wheeler over speed,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
217,03-04-15,10:30,others,3 & 4,2 & 3,fourlane,straight,junction,fine,Car over speed and vehicle out of control,0,0,1,2,Ambulance,The injured person shifted to Jalappa Hospital
218,03-04-15,4:30,headoncollision,4,2 & 5,fourlane,straight,junction,fine,Truck overtaking and Hit to the KSRTC Bus,0,0,0,20,Petrol Vehicle,The travel passenger all safe non-injured
219,03-04-14,16:30,headoncollision,2,5,fourlane,straight,junction,fine,Mini Truck,0,2,7,0,Ambulance/Petrol Vehicle,Mini Truck moving in wrong direction
220,03-02-16,19:15,headoncollision,3,2 & 5,fourlane,straight,yjunction,fine,Car over speed and hit to Two wheeler,0,0,2,0,Ambulance,The injured person shifted to Mulbagal Govt Hospital
221,03-02-15,13:45,skidding,2,2 & 4,fourlane,straight,junction,fine,Over speed of Motor Vehicle,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
222,03-12-17,18:50,skidding,3,2,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli
223,03-12-16,19:10,overspeed,3,7,fourlane,straight,tjunction,fine,Car over speed and hit to road crossing pedestrian. Fault of Pedestrian.,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
224,03-12-15,9:30,skidding,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Hit to LCV and skidding,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shited to Govt Hospital
225,03-11-17,17:00,headoncollision,2,2 & 3,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
226,03-10-16,10:35,collisionbrush,3,4,fourlane,straight,junction,fine,Two wheeler over speed and hit to two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to SNR Hospital Koalr
227,03-01-18,21:50,overspeed,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
228,03-01-17,10:50,skidding,2,2,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital Avalahalli
229,29-08-15,14:35,skidding,3,4,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
230,29-08-14,11:00,others,3,2 & 5,fourlane,straight,tjunction,fine,Vehicle parking in shoulder portion back side the two wheeler over speed come and Hit to the Loory,0,0,2,0,Ambulance/Petrol Vehicle,The injured persons shifted to KR Puram Govt Hospital
231,29-07-17,0:45,headoncollision,1,2,fourlane,straight,junction,fine,Car over speed and hit to car,1,0,0,0,Ambulance,The fatal body shifted to Govt. Hospital Hoskote
232,29-07-17,2:00,rightturncollision,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital
233,29-07-16,17:00,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Auto,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
234,29-07-15,16:40,skidding,3,1,fourlane,straight,junction,fine,Drunk & Drive,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
235,29-06-17,6:00,headoncollision,1,2 & 9,fourlane,straight,junction,fine,car over speed and hit to two wheeler. Defects in mechanical condition,3,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
236,29-06-16,23:30,headoncollision,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,1,0,0,0,Ambulance,The fatal body shifted to Jalappa Hospital
237,29-06-15,8:30,skidding,1 & 2,2 & 4,fourlane,slightcurve,junction,fine,Fault of driver of Motor vehicle,1,2,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
238,29-05-16,7:00,headoncollision,3,1 & 2,fourlane,slightcurve,junction,fine,Bike over speed hit to car,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
239,29-05-16,21:35,skidding,1,2 & 5,fourlane,straight,junction,fine,Car over speed hit to run,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
240,29-05-16,19:35,headoncollision,2 & 3,2 & 5,fourlane,straight,junction,fine,Bus over speed and hit to Bike,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
241,29-05-15,10:00,others,3,2,fourlane,straight,junction,fine,Car,0,0,1,3,Ambulance,Car lost control by over speed
242,29-05-14,14:15,others,2,2,fourlane,straight,junction,fine,Car,0,1,0,0,Ambulance/Petrol Vehicle,Over speed car collided with two wheeler
243,29-04-14,22:30,headoncollision,1,3,fourlane,straight,junction,fine,Bike,1,0,0,0,Ambulance/Petrol Vehicle,Bike rider was moving in the wrong direction car rammed the bike
244,29-03-18,5:00,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Fault of Agricultural vehicle hit to Truck,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body & injured person shifted to Jalappa Hospital
245,29-03-16,7:35,skidding,2 & 3,2 & 3,fourlane,straight,junction,fine,Car over speed vehicle out of control Self accident,0,2,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
246,29-12-17,11:30,headoncollision,1,2 & 4,fourlane,straight,forearmjunction,fine,Two wheeler over speed and hit to truck,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote
247,29-12-17,17:45,skidding,1,2 & 3,fourlane,straight,junction,fine,Two wheeler over speed Self accident,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hoskote
248,29-11-17,14:50,overspeed,3,1,fourlane,straight,junction,fine,Car over speed self accident. Drunken & Drive,0,0,1,0,Ambulance,The injured person shifted to MVJ Hospital
249,29-11-14,8:30,others,2 & 3 & 4,1 & 2,fourlane,straight,junction,fine,Self Accident Drunk & Drive,0,1,1,1,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
250,29-11-14,22:30,others,2 & 3,2 & 4,fourlane,slightcurve,junction,fine,Self accident due to vehicle tyre puncher and over speed vehicle out of control,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
251,29-10-16,9:05,overspeed,2 & 3,7,fourlane,straight,forearmjunction,fine,Car over speed and hit to road crossing pedestrian. Fault of Pedestrian.,0,1,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
252,29-01-16,7:35,skidding,3,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
253,29-01-16,22:40,skidding,3,2 & 4,fourlane,straight,tjunction,fine,Two wheeler over speed self accident,0,0,1,0,Ambulance,The injured person shifted to Devaryasamudra Hospital
254,28-09-17,6:10,overspeed,1,2,fourlane,straight,junction,fine,Truck over speed and hit to road crossing pedestrian,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital
255,28-09-16,16:10,headoncollision,1,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to LCV,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital
256,28-08-16,0:35,headoncollision,3,2 & 4,fourlane,slightcurve,junction,fine,Car over speed and hit to road crossing two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
257,28-08-16,14:30,headoncollision,3 & 4,4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Car,0,0,1,1,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
258,28-08-15,10:55,headoncollision,3,2 & 3,fourlane,straight,junction,fine,Car Hit to Truck,0,0,2,0,Ambulance,The injured person shifted to Jalappa Hospital
259,28-08-15,5:30,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Car over speed and hit to Truck,0,0,2,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
260,28-07-17,14:45,skidding,2,2,fourlane,straight,junction,fine,Two wheeler over speed and hit to car,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
261,28-06-17,10:17,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,2,0,0,Ambulance,The injured person shifted to Private Hospital Bhattarhalli
262,28-06-16,5:15,overspeed,1,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to car,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hospital Hoskote
263,28-06-15,11:25,headoncollision,2 & 3,2 & 5,fourlane,slightcurve,junction,fine,Fault of car vehicle over speed and hit to bike,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
264,28-04-17,9:35,skidding,3,2 & 9,fourlane,straight,junction,fine,Two wheeler over speed Self accident due to defect in mechanical condition,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
265,28-04-16,13:15,overspeed,3,2,fourlane,straight,junction,fine,Car U turn the opening that time opposite car over speed and hit to car,0,0,1,0,Ambulance,The injured person shifted to Private Hospital Hoskote
266,28-04-15,15:45,headoncollision,1,1,fourlane,slightcurve,junction,fine,Car Hit and run,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital
267,28-04-14,19:30,others,3,3,fourlane,straight,junction,fine,Mini Truck,0,0,1,0,Ambulance/Petrol Vehicle,Overspeeding of Mini truck collided with truck
268,28-03-16,19:00,headoncollision,1 & 2,3 & 4,fourlane,straight,junction,fine,Car hit to two wheeler. Fault of two wheeler illegal opening crossing,1,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
269,28-03-16,21:35,overspeed,2,1,fourlane,straight,junction,fine,Three wheeler Driver Drunk & Drive,0,2,0,0,Ambulance,The injured person shifted to Jalappa Hospital
270,28-03-14,7:30,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to the lorry,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
271,28-02-18,13:45,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli
272,28-02-16,16:30,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Rash driving of Tractor and Hit to Mini bus,1,5,0,0,Ambulance/Petrol Vehicle,The Fatal body & Injured person shifted to MVJ Hospital
273,28-02-16,22:30,headoncollision,3,2 & 5,fourlane,slightcurve,junction,fine,Car over speed and hit to Two wheeler,0,0,2,0,Ambulance,The injured person shifted to SNR Hospital
274,28-02-15,20:30,headoncollision,1,2 & 5,fourlane,sharpcurve,junction,fine,The vehicle hit and run,1,0,0,0,Petrol Vehicle,The fatal body shifted to SNR Hospital
275,28-11-16,19:45,skidding,3,2,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
276,28-11-16,3:10,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Car,1,0,1,0,Ambulance,The fatal & Injured person shifted to Govt. Hospital Hoskote
277,28-11-15,8:35,skidding,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Road Pedestrian,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital
278,28-10-16,11:45,headoncollision,3,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
279,28-10-16,11:45,headoncollision,3,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
280,28-01-17,8:30,others,2,9,fourlane,straight,junction,fine,Truck tyre burst self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
281,28-01-17,8:30,skidding,2,9,fourlane,straight,junction,fine,Truck tyre burst self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
282,28-01-16,22:00,rearendcollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Car over speed and Hit to Agricultural vehicle,1,0,4,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to Jalappa Hospital
283,27-09-16,22:30,collisionbrush,3,5,fourlane,straight,junction,fine,Car over speed and hit to Truck,0,0,1,0,Petrol Vehicle,The injured person shifted to KR Puram Private Hospital
284,27-09-15,5:00,skidding,4,2,fourlane,straight,junction,fine,Self accident over speed and skidding,0,0,0,2,Ambulance/Petrol Vehicle,The Non injured person shifted Jalappa Hospital
285,27-08-15,21:20,skidding,2,1,fourlane,straight,junction,fine,Drunk & Drive Two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
286,27-08-14,21:45,others,1 & 2,1,fourlane,straight,junction,fine,Bike Over Speed Drunken and Drive,1,1,0,0,Ambulance/Petrol Vehicle,Fatal body shifted to SNR Hospital
287,27-07-16,10:45,headoncollision,3,5,fourlane,straight,junction,fine,Truck over speed and hit to car,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
288,27-07-16,10:35,skidding,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to SNR Hospital
289,27-07-15,22:15,headoncollision,3,2 & 3,fourlane,straight,tjunction,fine,Two wheeler over speed and hit to Two wheeler,0,0,1,0,Ambulance/Petrol Vehicle,The injure person shifted to MVJ Hospital
290,27-06-17,12:30,headoncollision,2,2,fourlane,straight,junction,fine,Car over speed and hit to car,0,5,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
291,27-06-16,6:29,skidding,3,3 & 4,fourlane,slightcurve,junction,fine,Two wheeler over speed self accident,0,0,1,0,Ambulance,The injured person shifted to Jalappa Hospital
292,27-06-15,17:00,skidding,1,2,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
293,27-06-15,2:35,skidding,4,3,fourlane,sharpcurve,junction,fine,The car driver sleeping vehicle out of control- non injured,0,0,0,4,Petrol Vehicle,-
294,27-06-14,14:30,others,4,3,fourlane,straight,junction,fine,Lorry,0,0,0,2,Petrol Vehicle,Over Speed out of control Helping Patrolling.
