SrNo,Date,TimeOfAcc,Nature of Accident,Classification of Accident,Causes,Road Feature,Road Condition,Intersection Type and Control,Weather Condition,VehicleResponsible,Fatal,Grevious,Minor,Injured,Help Provided by Ambulance/Patrol,Remarks
141,05-10-2016,11:45 PM,overspeed,3,2,fourlane,straight,junction,fine,Car over speed and hit to Car,0,0,1,0,Ambulance,The injured person shifted to KR Puram Private Hospital
142,05-10-2014,7:00 PM,others,1 & 2 & 3,7,fourlane,slightcurve,junction,fine,Fault of Pedestrian,1,1,1,0,Ambulance/Petrol Vehicle,The Fatal person and Injured person shifted to Jalappa Hospital Kolar
143,05-01-2016,11:15 AM,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Negligent driving of the Auto driver,0,1,0,0,Ambulance,The injure person shifted to MVJ Hospital
144,04-08-2017,1:05 AM,headoncollision,1 & 3,2 & 3 & 5,fourlane,straight,junction,fine,Bus over speed and hit to Car & LCV,3,0,1,0,Ambulance/Petrol Vehicle,The fatal & Injured person shifted to Jalappa Hospital Koalr
145,04-08-2016,2:15 PM,headoncollision,3,2 & 3,fourlane,straight,junction,fine,Car over speed and hit to car,0,0,1,0,Ambulance/Petrol Vehicle,-
146,04-08-2015,5:10 AM,overspeed,1,2 & 7,fourlane,straight,junction,fine,Car hit to road crossing pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
147,04-08-2015,1:30 PM,headoncollision,2,1,fourlane,straight,junction,fine,Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
148,04-07-2016,5:30 AM,overspeed,2,2 & 3,fourlane,sharpcurve,junction,fine,Car over speed and hit to Auto vehicle out of control,0,1,0,0,Ambulance,The injured person shifted to MVJ Hospital
149,04-07-2016,3:00 AM,headoncollision,1 & 3,2 & 3 & 5,fourlane,straight,junction,fine,Truck over speed and hit to car,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body and injured person shifted to MVJ Hospital
150,04-07-2014,3:00 AM,others,1,1 & 3,fourlane,straight,junction,fine,Over Speed Vehicle out of Control,2,0,0,0,Ambulance/Petrol Vehicle,shifted to Hospital MVJ Hoskote
151,04-06-2017,11:30 AM,headoncollision,2,2 & 9,fourlane,slightcurve,junction,fine,car over speed and hit to two wheeler,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
152,04-06-2016,5:15 AM,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
153,04-06-2016,5:45 AM,overspeed,2,2 & 5,fourlane,straight,tjunction,fine,LCV over speed and hit to Truck,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital KR Puram
154,04-05-2018,3:00 AM,headoncollision,2,2 & 9,fourlane,straight,junction,lightrain,Truck over speed and hit to Car,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
155,04-05-2018,2:15 AM,skidding,1,2 & 5,fourlane,straight,junction,fine,Unknown vehicle over speed and hit to two wheeler,1,0,2,0,Ambulance/Petrol Vehicle,The fatal body & injured person shifted to Jalappa Hospital
156,04-05-2016,11:35 PM,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
157,04-05-2014,2:00 AM,others,2,2,fourlane,straight,junction,fine,Over Speed of Car,0,1,0,0,Ambulance/Petrol Vehicle,Serious Injures to Car Driver
158,04-05-2014,2:00 AM,others,2,2,fourlane,straight,junction,fine,Car,0,1,0,0,Ambulance/Petrol Vehicle,Due over speed of car collided with truck
159,04-04-2018,7:00 AM,overspeed,2,2,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler. Negligence Driving of Two wheeler.,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote
160,04-04-2016,6:30 PM,headoncollision,2 & 3,2 & 5,fourlane,straight,junction,fine,Bus over speed hit to LCV,0,1,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
161,04-03-2017,10:00 PM,overspeed,3,2,fourlane,straight,junction,fine,Car over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli
162,04-03-2016,7:45 PM,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Tractor,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
163,04-02-2018,11:30 AM,skidding,2,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,4,0,0,Petrol Vehicle,The injured person shifted to Govt Hospital Hoskote
164,04-02-2016,9:35 PM,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Two wheeler over speed and hit to LCV,3,0,1,0,Ambulance,The fatal body and injured person shifted to Jalappa Hospital
165,04-02-2015,11:20 PM,others,1,2 & 3,fourlane,straight,junction,fine,Self Accident Drunk & Drive,1,0,0,0,Petrol Vehicle,The fatal body shifted to SNR Hospital
166,04-12-2017,9:35 AM,headoncollision,3,2 & 5,fourlane,straight,junction,fine,LCV over speed and hit to LCV,0,0,2,0,Petrol Vehicle,Minor injured Vehicle shifted to Kolar Traffic police station
167,04-12-2014,1:25 PM,skidding,2,2 & 3,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
168,04-11-2016,7:45 PM,headoncollision,3,2,fourlane,straight,junction,fine,Bus over speed and hit to Agricultural vehicle.,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
169,04-10-2017,11:30 PM,headoncollision,2,2 & 3,fourlane,straight,junction,fine,LCV over speed self accident,0,1,0,0,Ambulance,The injured person shifted to Private Hospital Hoskote
170,04-10-2016,3:15 AM,rightturncollision,3,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
171,04-10-2015,11:30 PM,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Lorry over speed and Hit to Two wheeler,0,1,1,0,Ambulance/Petrol Vehicle,The injure person shifted to Hoskote Govt Hospital
172,04-10-2014,10:36 PM,overspeed,3,2,fourlane,straight,tjunction,fine,Car over speed,0,0,3,0,Petrol Vehicle,Traffic clear
173,04-01-2018,11:00 AM,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed hit to Bus,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
174,04-01-2017,9:20 AM,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
175,04-01-2017,2:55 PM,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Bus over speed and hit to two wheeler,1,1,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hoskote & Injured person shifted to MVJ Hospital
176,04-01-2016,6:15 PM,skidding,2 & 3,2 & 3 & 4,fourlane,straight,junction,fine,Self accident over speed,0,4,5,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
177,04-01-2015,1:00 AM,headoncollision,2 & 3 & 4,2 & 5,fourlane,straight,junction,fine,Truck ramped to car,0,1,1,2,Ambulance,The injured person shifted to SNR Hospital
178,31-08-2014,4:32 PM,others,3,2,fourlane,straight,junction,fine,Maurthi van hit to Milk van over speed,0,1,1,0,Ambulance/Petrol Vehicle,The injured persons shifted to MVJ Hospital
179,31-07-2015,8:00 PM,overspeed,1,2 & 5,fourlane,straight,tjunction,fine,Two wheeler over speed and hit to Road crossing pedestrian,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
180,31-07-2015,1:05 PM,headoncollision,1,1,fourlane,slightcurve,junction,fine,Bike over speed and hit to Tractor,0,0,1,0,Petrol Vehicle,The minor injured person shifted to Hospital
181,31-05-2015,9:35 AM,others,3,2,fourlane,straight,junction,fine,Car,0,0,1,0,Petrol Vehicle,Car hits truck by over speeding
182,31-03-2017,9:35 PM,overspeed,1 & 4,2 & 9,fourlane,slightcurve,junction,fine,Bus over speed. Defects in mechanical condition,1,0,0,8,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
183,31-03-2016,12:20 PM,overspeed,1,1 & 2,fourlane,straight,junction,fine,Drunk & Drive of car driver,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
184,31-03-2014,3:00 PM,others,3,3,fourlane,slightcurve,tjunction,fine,"Truck over speed, vehicle out of control and vehicle skidding the shoulder side",0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
185,31-03-2014,4:30 AM,overspeed,2 & 3 & 4,2 & 5,fourlane,slightcurve,junction,fine,Car hit to the other car because of over speed on the carriageway and vehicle out of control,0,1,2,3,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
186,31-12-2017,8:50 AM,skidding,4,2,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,0,0,1,Petrol Vehicle,"There is no injured, traffic cleared immediately."
187,31-12-2017,8:50 AM,skidding,4,2,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,0,0,1,Petrol Vehicle,"There is no injured, traffic cleared immediately."
188,31-10-2017,10:00 AM,overspeed,3,2,fourlane,straight,junction,fine,Truck over speed and hit to Truck,0,0,1,0,Ambulance,The injured person shifted to Private Hospital Hoskote
189,31-10-2016,11:30 AM,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler,1,1,0,0,Ambulance/Petrol Vehicle,The fatal & Injured person shifted to Govt. Hospital Hoskote
190,31-10-2014,10:30 AM,skidding,2,3 & 4,fourlane,straight,junction,fine,Two wheeler over speed in the carriageway in front of vehicle suddenly overtaking the two wheeler out of control and skidding on the carriageway,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
191,31-01-2016,10:45 AM,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,0,0,2,0,Ambulance,The injured person shifted to Jalappa Hospital
192,30-09-2015,2:10 PM,skidding,2,1,fourlane,straight,junction,fine,Self accident Drunk & Drive,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to KR Puram Govt Hospital
193,30-08-2015,11:30 AM,overspeed,2,2,fourlane,straight,junction,fine,Car over speed and hit to car,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
194,30-07-2017,7:15 PM,skidding,1,2,fourlane,straight,junction,fine,Unknown vehicle hit and run while road crossing,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
195,30-07-2016,3:00 PM,overspeed,3,2 & 3 & 9,fourlane,straight,junction,fine,0,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
196,30-07-2015,5:00 AM,headoncollision,1,2 & 5,fourlane,slightcurve,tjunction,fine,Car Hit to the Multi axle,2,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
197,30-06-2014,11:30 AM,others,2 & 3,2,fourlane,straight,junction,fine,Car over speed,0,4,1,0,Petrol Vehicle,Helping Patrolling & 108 Shifted to Jalapa hospital
198,30-06-2014,11:30 AM,others,2 & 3,2,fourlane,straight,junction,fine,Car over speed,0,4,1,0,Petrol Vehicle,Helping Patrolling & 108 Shifted to Jalapa hospital
199,30-05-2016,5:00 AM,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Multi axle over speed and hit to Multi axle,1,1,0,0,Ambulance/Petrol Vehicle,The Fatal & Injured person shifted to Jalappa Hospital
200,30-05-2015,9:30 PM,others,3,2,fourlane,straight,junction,fine,Bike,0,2,1,2,Ambulance,Bike rider hits car with over speed
201,30-04-2017,10:30 PM,headoncollision,1,9,fourlane,straight,junction,fine,car over speed and hit to two wheeler,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
202,30-04-2017,4:50 PM,skidding,1,7,fourlane,slightcurve,junction,fine,Unknown vehicle hit and run while road crossing,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital
203,30-03-2018,11:10 AM,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Bus,0,22,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
204,30-03-2018,9:00 PM,overspeed,3,2,fourlane,straight,junction,fine,car over speed and hit to Bus,0,0,3,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
205,30-03-2016,7:40 AM,skidding,1,7,fourlane,straight,junction,fine,car over speed hit to road crossing Pedestrian,1,0,0,0,Ambulance,The fatal body shifted to Jalappa Hospital
206,30-01-2018,9:30 PM,skidding,3,2 & 4,fourlane,slightcurve,junction,fine,Two wheeler over speed Self accident,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
207,03-09-2017,2:25 PM,headoncollision,2,2 & 4,fourlane,straight,junction,fine,Two wheeler riding and over speed hit to Truck,0,3,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Silicon city Hospital
208,03-09-2017,5:30 PM,skidding,3,9,fourlane,straight,junction,fine,LCV over speed self accident due to defect in mechanical condition,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
209,03-09-2016,8:15 PM,skidding,3,1 & 3,fourlane,straight,junction,fine,Two wheeler over speed Drunk & Drive,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
210,03-09-2015,1:45 PM,rightturncollision,3,2 & 3,fourlane,slightcurve,junction,fine,Car over speed vehicle out of control,0,0,3,0,Ambulance,The injured person shifted to SNR Hospital
211,03-08-2017,9:00 AM,skidding,1,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
212,03-08-2016,6:00 AM,overspeed,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to road crossing Pedestrian,1,0,0,0,Ambulance,The fatal body shifted to Jalappa Hospital
213,03-08-2015,7:15 AM,headoncollision,2,2 & 5,fourlane,slightcurve,junction,fine,Truck hit to Car,0,1,2,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
214,03-07-2016,2:25 AM,headoncollision,2,2 & 5,fourlane,slightcurve,junction,fine,Truck over speed and hit to Auto,0,4,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
215,03-06-2016,5:30 AM,headoncollision,3,2 & 3 & 4,fourlane,straight,junction,fine,Multi axle over speed and hit to Two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
216,03-05-2018,6:00 AM,skidding,3,2 & 4,fourlane,straight,junction,fine,Self accident Two wheeler over speed,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
217,03-04-2015,10:30 AM,others,3 & 4,2 & 3,fourlane,straight,junction,fine,Car over speed and vehicle out of control,0,0,1,2,Ambulance,The injured person shifted to Jalappa Hospital
218,03-04-2015,4:30 AM,headoncollision,4,2 & 5,fourlane,straight,junction,fine,Truck overtaking and Hit to the KSRTC Bus,0,0,0,20,Petrol Vehicle,The travel passenger all safe non-injured
219,03-04-2014,4:30 PM,headoncollision,2,5,fourlane,straight,junction,fine,Mini Truck,0,2,7,0,Ambulance/Petrol Vehicle,Mini Truck moving in wrong direction
220,03-02-2016,7:15 PM,headoncollision,3,2 & 5,fourlane,straight,yjunction,fine,Car over speed and hit to Two wheeler,0,0,2,0,Ambulance,The injured person shifted to Mulbagal Govt Hospital
221,03-02-2015,1:45 PM,skidding,2,2 & 4,fourlane,straight,junction,fine,Over speed of Motor Vehicle,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
222,03-12-2017,6:50 PM,skidding,3,2,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli
223,03-12-2016,7:10 PM,overspeed,3,7,fourlane,straight,tjunction,fine,Car over speed and hit to road crossing pedestrian. Fault of Pedestrian.,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
224,03-12-2015,9:30 AM,skidding,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Hit to LCV and skidding,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shited to Govt Hospital
225,03-11-2017,5:00 PM,headoncollision,2,2 & 3,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
226,03-10-2016,10:35 AM,collisionbrush,3,4,fourlane,straight,junction,fine,Two wheeler over speed and hit to two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to SNR Hospital Koalr
227,03-01-2018,9:50 PM,overspeed,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Car,0,1,0,0,Petrol Vehicle,The injured person shifted to Private Hospital Hoskote
228,03-01-2017,10:50 AM,skidding,2,2,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital Avalahalli
229,29-08-2015,2:35 PM,skidding,3,4,fourlane,straight,junction,fine,Bike over speed fault of Motor vehicle,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
230,29-08-2014,11:00 AM,others,3,2 & 5,fourlane,straight,tjunction,fine,Vehicle parking in shoulder portion back side the two wheeler over speed come and Hit to the Loory,0,0,2,0,Ambulance/Petrol Vehicle,The injured persons shifted to KR Puram Govt Hospital
231,29-07-2017,12:45 AM,headoncollision,1,2,fourlane,straight,junction,fine,Car over speed and hit to car,1,0,0,0,Ambulance,The fatal body shifted to Govt. Hospital Hoskote
232,29-07-2017,2:00 AM,rightturncollision,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to car,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital
233,29-07-2016,5:00 PM,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Auto,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
234,29-07-2015,4:40 PM,skidding,3,1,fourlane,straight,junction,fine,Drunk & Drive,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
235,29-06-2017,6:00 AM,headoncollision,1,2 & 9,fourlane,straight,junction,fine,car over speed and hit to two wheeler. Defects in mechanical condition,3,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
236,29-06-2016,11:30 PM,headoncollision,1,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to Two wheeler,1,0,0,0,Ambulance,The fatal body shifted to Jalappa Hospital
237,29-06-2015,8:30 AM,skidding,1 & 2,2 & 4,fourlane,slightcurve,junction,fine,Fault of driver of Motor vehicle,1,2,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to MVJ Hospital
238,29-05-2016,7:00 AM,headoncollision,3,1 & 2,fourlane,slightcurve,junction,fine,Bike over speed hit to car,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
239,29-05-2016,9:35 PM,skidding,1,2 & 5,fourlane,straight,junction,fine,Car over speed hit to run,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Jalappa Hospital
240,29-05-2016,7:35 PM,headoncollision,2 & 3,2 & 5,fourlane,straight,junction,fine,Bus over speed and hit to Bike,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
241,29-05-2015,10:00 AM,others,3,2,fourlane,straight,junction,fine,Car,0,0,1,3,Ambulance,Car lost control by over speed
242,29-05-2014,2:15 PM,others,2,2,fourlane,straight,junction,fine,Car,0,1,0,0,Ambulance/Petrol Vehicle,Over speed car collided with two wheeler
243,29-04-2014,10:30 PM,headoncollision,1,3,fourlane,straight,junction,fine,Bike,1,0,0,0,Ambulance/Petrol Vehicle,Bike rider was moving in the wrong direction car rammed the bike
244,29-03-2018,5:00 AM,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Fault of Agricultural vehicle hit to Truck,1,0,1,0,Ambulance/Petrol Vehicle,The fatal body & injured person shifted to Jalappa Hospital
245,29-03-2016,7:35 AM,skidding,2 & 3,2 & 3,fourlane,straight,junction,fine,Car over speed vehicle out of control Self accident,0,2,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
246,29-12-2017,11:30 AM,headoncollision,1,2 & 4,fourlane,straight,forearmjunction,fine,Two wheeler over speed and hit to truck,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt. Hospital Hoskote
247,29-12-2017,5:45 PM,skidding,1,2 & 3,fourlane,straight,junction,fine,Two wheeler over speed Self accident,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hoskote
248,29-11-2017,2:50 PM,overspeed,3,1,fourlane,straight,junction,fine,Car over speed self accident. Drunken & Drive,0,0,1,0,Ambulance,The injured person shifted to MVJ Hospital
249,29-11-2014,8:30 AM,others,2 & 3 & 4,1 & 2,fourlane,straight,junction,fine,Self Accident Drunk & Drive,0,1,1,1,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
250,29-11-2014,10:30 PM,others,2 & 3,2 & 4,fourlane,slightcurve,junction,fine,Self accident due to vehicle tyre puncher and over speed vehicle out of control,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
251,29-10-2016,9:05 AM,overspeed,2 & 3,7,fourlane,straight,forearmjunction,fine,Car over speed and hit to road crossing pedestrian. Fault of Pedestrian.,0,1,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
252,29-01-2016,7:35 AM,skidding,3,2 & 3,fourlane,straight,junction,fine,Car over speed self accident,0,0,2,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
253,29-01-2016,10:40 PM,skidding,3,2 & 4,fourlane,straight,tjunction,fine,Two wheeler over speed self accident,0,0,1,0,Ambulance,The injured person shifted to Devaryasamudra Hospital
254,28-09-2017,6:10 AM,overspeed,1,2,fourlane,straight,junction,fine,Truck over speed and hit to road crossing pedestrian,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital
255,28-09-2016,4:10 PM,headoncollision,1,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to LCV,1,0,0,0,Ambulance,The fatal body shifted to MVJ Hospital
256,28-08-2016,12:35 AM,headoncollision,3,2 & 4,fourlane,slightcurve,junction,fine,Car over speed and hit to road crossing two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital
257,28-08-2016,2:30 PM,headoncollision,3 & 4,4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Car,0,0,1,1,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
258,28-08-2015,10:55 AM,headoncollision,3,2 & 3,fourlane,straight,junction,fine,Car Hit to Truck,0,0,2,0,Ambulance,The injured person shifted to Jalappa Hospital
259,28-08-2015,5:30 AM,headoncollision,3,2 & 4,fourlane,straight,junction,fine,Car over speed and hit to Truck,0,0,2,0,Petrol Vehicle,The injured person shifted to MVJ Hospital
260,28-07-2017,2:45 PM,skidding,2,2,fourlane,straight,junction,fine,Two wheeler over speed and hit to car,0,2,0,0,Ambulance,The injured person shifted to MVJ Hospital
261,28-06-2017,10:17 AM,skidding,2,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,2,0,0,Ambulance,The injured person shifted to Private Hospital Bhattarhalli
262,28-06-2016,5:15 AM,overspeed,1,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to car,1,0,0,0,Ambulance/Petrol Vehicle,The fatal body shifted to Govt Hospital Hoskote
263,28-06-2015,11:25 AM,headoncollision,2 & 3,2 & 5,fourlane,slightcurve,junction,fine,Fault of car vehicle over speed and hit to bike,0,1,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
264,28-04-2017,9:35 AM,skidding,3,2 & 9,fourlane,straight,junction,fine,Two wheeler over speed Self accident due to defect in mechanical condition,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
265,28-04-2016,1:15 PM,overspeed,3,2,fourlane,straight,junction,fine,Car U turn the opening that time opposite car over speed and hit to car,0,0,1,0,Ambulance,The injured person shifted to Private Hospital Hoskote
266,28-04-2015,3:45 PM,headoncollision,1,1,fourlane,slightcurve,junction,fine,Car Hit and run,1,0,0,0,Petrol Vehicle,The fatal body shifted to Jalappa Hospital
267,28-04-2014,7:30 PM,others,3,3,fourlane,straight,junction,fine,Mini Truck,0,0,1,0,Ambulance/Petrol Vehicle,Overspeeding of Mini truck collided with truck
268,28-03-2016,7:00 PM,headoncollision,1 & 2,3 & 4,fourlane,straight,junction,fine,Car hit to two wheeler. Fault of two wheeler illegal opening crossing,1,2,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
269,28-03-2016,9:35 PM,overspeed,2,1,fourlane,straight,junction,fine,Three wheeler Driver Drunk & Drive,0,2,0,0,Ambulance,The injured person shifted to Jalappa Hospital
270,28-03-2014,7:30 AM,headoncollision,3,2 & 5,fourlane,straight,junction,fine,Car over speed and hit to the lorry,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Jalappa Hospital
271,28-02-2018,1:45 PM,headoncollision,2,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Two wheeler,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to Private Hospital Bhattarhalli
272,28-02-2016,4:30 PM,headoncollision,1 & 2,2 & 5,fourlane,straight,junction,fine,Rash driving of Tractor and Hit to Mini bus,1,5,0,0,Ambulance/Petrol Vehicle,The Fatal body & Injured person shifted to MVJ Hospital
273,28-02-2016,10:30 PM,headoncollision,3,2 & 5,fourlane,slightcurve,junction,fine,Car over speed and hit to Two wheeler,0,0,2,0,Ambulance,The injured person shifted to SNR Hospital
274,28-02-2015,8:30 PM,headoncollision,1,2 & 5,fourlane,sharpcurve,junction,fine,The vehicle hit and run,1,0,0,0,Petrol Vehicle,The fatal body shifted to SNR Hospital
275,28-11-2016,7:45 PM,skidding,3,2,fourlane,straight,junction,fine,Two wheeler over speed Self accident,0,0,1,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
276,28-11-2016,3:10 AM,headoncollision,1 & 3,2 & 5,fourlane,straight,junction,fine,Truck over speed and hit to Car,1,0,1,0,Ambulance,The fatal & Injured person shifted to Govt. Hospital Hoskote
277,28-11-2015,8:35 AM,skidding,3,2 & 4,fourlane,straight,junction,fine,Two wheeler over speed and hit to Road Pedestrian,0,0,2,0,Ambulance/Petrol Vehicle,The injured person shifted to Govt Hospital
278,28-10-2016,11:45 AM,headoncollision,3,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
279,28-10-2016,11:45 AM,headoncollision,3,2 & 5,fourlane,straight,junction,fine,car over speed and hit to two wheeler,0,0,1,0,Petrol Vehicle,The injured person shifted to Jalappa Hospital Kolar
280,28-01-2017,8:30 AM,others,2,9,fourlane,straight,junction,fine,Truck tyre burst self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
281,28-01-2017,8:30 AM,skidding,2,9,fourlane,straight,junction,fine,Truck tyre burst self accident,0,1,0,0,Ambulance/Petrol Vehicle,The injured person shifted to MVJ Hospital
